,iModulon,Gene
791,Unknown_2,SGL_RS00920
792,Unknown_2,SGL_RS00925
793,Unknown_2,SGL_RS00930
794,Unknown_2,SGL_RS00935
795,Unknown_2,SGL_RS00940
796,Unknown_2,SGL_RS00945
797,Unknown_2,SGL_RS00955
798,Unknown_2,SGL_RS00960
799,Unknown_2,SGL_RS01025
800,Unknown_2,SGL_RS01030
801,Unknown_2,SGL_RS01035
802,Unknown_2,SGL_RS01045
803,Unknown_2,SGL_RS01050
804,Unknown_2,SGL_RS01055
805,Unknown_2,SGL_RS01060
806,Stringent_response,SGL_RS01880
807,Stringent_response,SGL_RS01995
808,Stringent_response,SGL_RS02110
809,Stringent_response,SGL_RS02115
810,Stringent_response,SGL_RS20105
811,Stringent_response,SGL_RS02825
812,Stringent_response,SGL_RS19410
813,Stringent_response,SGL_RS03225
814,Stringent_response,SGL_RS03235
815,Stringent_response,SGL_RS03250
816,Stringent_response,SGL_RS19555
817,Stringent_response,SGL_RS03280
818,Stringent_response,SGL_RS03345
819,Stringent_response,SGL_RS03415
820,Stringent_response,SGL_RS04115
821,Stringent_response,SGL_RS04380
822,Stringent_response,SGL_RS04810
823,Stringent_response,SGL_RS04935
824,Stringent_response,SGL_RS05130
825,Stringent_response,SGL_RS05195
826,Stringent_response,SGL_RS05200
827,Stringent_response,SGL_RS05265
828,Stringent_response,SGL_RS05495
829,Stringent_response,SGL_RS05655
830,Stringent_response,SGL_RS05705
831,Stringent_response,SGL_RS05860
832,Stringent_response,SGL_RS06050
833,Stringent_response,SGL_RS06165
834,Stringent_response,SGL_RS06170
835,Stringent_response,SGL_RS06470
836,Stringent_response,SGL_RS06475
837,Stringent_response,SGL_RS06745
838,Stringent_response,SGL_RS06830
839,Stringent_response,SGL_RS18765
840,Stringent_response,SGL_RS19440
841,Stringent_response,SGL_RS07260
842,Stringent_response,SGL_RS07270
843,Stringent_response,SGL_RS07350
844,Stringent_response,SGL_RS07550
845,Stringent_response,SGL_RS07555
846,Stringent_response,SGL_RS07560
847,Stringent_response,SGL_RS07660
848,Stringent_response,SGL_RS07665
849,Stringent_response,SGL_RS07740
850,Stringent_response,SGL_RS07880
851,Stringent_response,SGL_RS07900
852,Stringent_response,SGL_RS07980
853,Stringent_response,SGL_RS08075
854,Stringent_response,SGL_RS08080
855,Stringent_response,SGL_RS08115
856,Stringent_response,SGL_RS08130
857,Stringent_response,SGL_RS08355
858,Stringent_response,SGL_RS08385
859,Stringent_response,SGL_RS08440
860,Stringent_response,SGL_RS08605
861,Stringent_response,SGL_RS08955
862,Stringent_response,SGL_RS08990
863,Stringent_response,SGL_RS09000
864,Stringent_response,SGL_RS09155
865,Stringent_response,SGL_RS09245
866,Stringent_response,SGL_RS09605
867,Stringent_response,SGL_RS09635
868,Stringent_response,SGL_RS09790
869,Stringent_response,SGL_RS19875
870,Stringent_response,SGL_RS09935
871,Stringent_response,SGL_RS10175
872,Stringent_response,SGL_RS10895
873,Stringent_response,SGL_RS10900
874,Stringent_response,SGL_RS19905
875,Stringent_response,SGL_RS10995
876,Stringent_response,SGL_RS11010
877,Stringent_response,SGL_RS19230
878,Stringent_response,SGL_RS11210
879,Stringent_response,SGL_RS11215
880,Stringent_response,SGL_RS11330
881,Stringent_response,SGL_RS11370
882,Stringent_response,SGL_RS11460
883,Stringent_response,SGL_RS11470
884,Stringent_response,SGL_RS11945
885,Stringent_response,SGL_RS11955
886,Stringent_response,SGL_RS12020
887,Stringent_response,SGL_RS12060
888,Stringent_response,SGL_RS12065
889,Stringent_response,SGL_RS12200
890,Stringent_response,SGL_RS12205
891,Stringent_response,SGL_RS12360
892,Stringent_response,SGL_RS12365
893,Stringent_response,SGL_RS12505
894,Stringent_response,SGL_RS12535
895,Stringent_response,SGL_RS12825
896,Stringent_response,SGL_RS12920
897,Stringent_response,SGL_RS12925
898,Stringent_response,SGL_RS13030
899,Stringent_response,SGL_RS13045
900,Stringent_response,SGL_RS13110
901,Stringent_response,SGL_RS19000
902,Stringent_response,SGL_RS13360
903,Stringent_response,SGL_RS19630
904,Stringent_response,SGL_RS13545
905,Stringent_response,SGL_RS13625
906,Stringent_response,SGL_RS13630
907,Stringent_response,SGL_RS13665
908,Stringent_response,SGL_RS14315
909,Stringent_response,SGL_RS14455
910,Stringent_response,SGL_RS14600
911,Stringent_response,SGL_RS19990
912,Stringent_response,SGL_RS14960
913,Stringent_response,SGL_RS15030
914,Stringent_response,SGL_RS15140
915,Stringent_response,SGL_RS15155
916,Stringent_response,SGL_RS15270
917,Stringent_response,SGL_RS15315
918,Stringent_response,SGL_RS15320
919,Stringent_response,SGL_RS19275
920,Stringent_response,SGL_RS15650
921,Stringent_response,SGL_RS15930
922,Stringent_response,SGL_RS16265
923,Stringent_response,SGL_RS16955
924,Stringent_response,SGL_RS17545
925,Stringent_response,SGL_RS17580
926,Stringent_response,SGL_RS17600
927,Stringent_response,SGL_RS19135
928,Stringent_response,SGL_RS17920
929,Stringent_response,SGL_RS17960
930,Stringent_response,SGL_RS18005
931,Stringent_response,SGL_RS18010
932,Stringent_response,SGL_RS18150
933,Stringent_response,SGL_RS18155
934,Stringent_response,SGL_RS01875
935,Stringent_response,SGL_RS19730
936,Stringent_response,SGL_RS01580
937,Stringent_response,SGL_RS01765
938,Stringent_response,SGL_RS18485
939,Stringent_response,SGL_RS01270
940,Stringent_response,SGL_RS00650
941,Stringent_response,SGL_RS00670
942,Ethylene_response,SGL_RS19400
943,Ethylene_response,SGL_RS04035
944,Ethylene_response,SGL_RS05255
945,Ethylene_response,SGL_RS05260
946,Ethylene_response,SGL_RS05265
947,Ethylene_response,SGL_RS05370
948,Ethylene_response,SGL_RS18725
949,Ethylene_response,SGL_RS06315
950,Ethylene_response,SGL_RS07540
951,Ethylene_response,SGL_RS07545
952,Ethylene_response,SGL_RS07935
953,Ethylene_response,SGL_RS07940
954,Ethylene_response,SGL_RS07945
955,Ethylene_response,SGL_RS07950
956,Ethylene_response,SGL_RS08110
957,Ethylene_response,SGL_RS08995
958,Ethylene_response,SGL_RS09000
959,Ethylene_response,SGL_RS09015
960,Ethylene_response,SGL_RS09455
961,Ethylene_response,SGL_RS09460
962,Ethylene_response,SGL_RS09565
963,Ethylene_response,SGL_RS09570
964,Ethylene_response,SGL_RS19200
965,Ethylene_response,SGL_RS09935
966,Ethylene_response,SGL_RS11205
967,Ethylene_response,SGL_RS11355
968,Ethylene_response,SGL_RS11695
969,Ethylene_response,SGL_RS12315
970,Ethylene_response,SGL_RS12320
971,Ethylene_response,SGL_RS12540
972,Ethylene_response,SGL_RS12565
973,Ethylene_response,SGL_RS12865
974,Ethylene_response,SGL_RS12870
975,Ethylene_response,SGL_RS13645
976,Ethylene_response,SGL_RS13985
977,Ethylene_response,SGL_RS19475
978,Ethylene_response,SGL_RS14760
979,Ethylene_response,SGL_RS15295
980,Ethylene_response,SGL_RS15980
981,Ethylene_response,SGL_RS16100
982,Ethylene_response,SGL_RS19085
983,Ethylene_response,SGL_RS16190
984,Ethylene_response,SGL_RS19495
985,Ethylene_response,SGL_RS17140
986,Ethylene_response,SGL_RS17145
987,Ethylene_response,SGL_RS17165
988,Ethylene_response,SGL_RS17170
989,Ethylene_response,SGL_RS17190
990,Ethylene_response,SGL_RS17830
991,Ethylene_response,SGL_RS20200
992,Ethylene_response,SGL_RS17865
993,Ethylene_response,SGL_RS17935
994,Ethylene_response,SGL_RS20095
995,Ethylene_response,SGL_RS01610
996,Ethylene_response,SGL_RS01615
997,Ethylene_response,SGL_RS01725
998,Ethylene_response,SGL_RS20100
999,Ethylene_response,SGL_RS00165
1000,Ethylene_response,SGL_RS00170
1001,Ethylene_response,SGL_RS00195
1002,Ethylene_response,SGL_RS00200
1003,Ethylene_response,SGL_RS00245
1004,Ethylene_response,SGL_RS00415
1005,Ethylene_response,SGL_RS01250
1006,Ethylene_response,SGL_RS00810
1007,Ethylene_response,SGL_RS00815
1008,Ethylene_response,SGL_RS00865
1009,Ethylene_response,SGL_RS19385
1010,Photosinthesis_via_phycocyanin,SGL_RS03080
1011,Photosinthesis_via_phycocyanin,SGL_RS19410
1012,Photosinthesis_via_phycocyanin,SGL_RS04005
1013,Photosinthesis_via_phycocyanin,SGL_RS04010
1014,Photosinthesis_via_phycocyanin,SGL_RS04045
1015,Photosinthesis_via_phycocyanin,SGL_RS04340
1016,Photosinthesis_via_phycocyanin,SGL_RS04385
1017,Photosinthesis_via_phycocyanin,SGL_RS04560
1018,Photosinthesis_via_phycocyanin,SGL_RS19335
1019,Photosinthesis_via_phycocyanin,SGL_RS05130
1020,Photosinthesis_via_phycocyanin,SGL_RS05150
1021,Photosinthesis_via_phycocyanin,SGL_RS05230
1022,Photosinthesis_via_phycocyanin,SGL_RS05235
